Names of Unit,Year,Dacoity,Robbery, Murder, Speedy Trial, Riot, Woman & Child Repression, Kidnapping, Police Assault, Burglary, Theft, Other Cases,Arms Act, Explosive Act, Narcotics,Smuggling,Total Cases
RPMP,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATU,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMP,2018,17,83,216,216,17,1782,75,236,613,1290,5708,155,354,16215,173,27150
CMP,2018,6,65,75,100,0,405,11,34,74,208,1446,365,136,4747,59,7731
KMP,2018,2,6,19,18,0,145,3,3,32,63,385,24,1,1858,45,2604
RMP,2018,0,27,22,14,3,177,17,12,45,64,597,35,19,2847,368,4247
BMP,2018,3,8,17,6,0,101,6,6,44,42,441,16,1,1088,0,1779
SMP,2018,8,12,33,44,0,159,1,39,32,85,731,16,2,520,34,1716
Dhaka Range,2018,71,96,854,105,0,3014,82,122,304,931,11830,292,65,22682,155,40603
Mymensingh Range,2018,5,10,265,54,1,1056,20,23,66,301,5294,53,139,6329,100,13716
Chittagong Range,2018,44,84,728,110,1,1915,93,151,325,701,11445,723,122,13338,145,29925
Sylhet Range,2018,25,18,272,19,1,885,13,94,84,390,4648,62,19,2438,194,9162
Khulna Range,2018,26,54,392,27,3,1530,29,14,190,403,7402,369,207,10076,531,21253
Barisal Range,2018,20,24,166,55,0,1321,20,20,132,205,4975,54,56,4384,2,11434
Rajshahi Range,2018,21,53,408,126,0,1786,46,27,95,392,6979,257,116,13764,1538,25608
Rangpur Range,2018,13,13,307,19,0,1908,16,18,91,372,7474,72,57,10921,997,22278
Railway Range,2018,0,4,27,3,0,4,1,5,0,65,108,2,0,611,159,989
GMP,2018,0,4,26,4,0,46,3,5,7,32,183,18,15,528,1,872
RPMP,2018,1,1,3,2,0,19,8,2,3,17,90,2,1,203,0,352
ATU,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMP,2019,1,10,19,10,0,118,9,6,49,127,411,6,3,1370,14,2153
CMP,2019,0,3,9,5,0,22,0,5,6,15,125,38,0,449,1,678
KMP,2019,1,0,4,1,0,8,0,0,6,4,16,2,0,272,3,317
RMP,2019,0,4,1,1,1,11,0,0,4,6,52,3,0,283,35,401
BMP,2019,0,0,0,0,0,14,1,0,4,6,49,1,0,91,0,166
SMP,2019,0,2,5,3,0,15,0,13,2,2,55,0,0,44,2,143
Dhaka Range,2019,7,11,75,10,0,216,12,13,28,70,889,18,3,1731,6,3089
Mymensingh Range,2019,1,1,23,1,0,87,2,6,5,24,405,5,2,435,7,1004
Chittagong Range,2019,4,11,74,4,0,147,6,10,25,51,891,54,1,1108,10,2396
Sylhet Range,2019,4,5,20,4,0,67,1,8,7,33,412,1,3,139,21,725
Khulna Range,2019,4,4,37,0,0,99,2,2,7,36,544,13,3,814,20,1585
Barisal Range,2019,2,3,16,2,0,86,3,2,16,23,378,1,0,363,0,895
Rajshahi Range,2019,5,8,29,6,0,99,8,2,5,40,469,25,15,1166,134,2011
Rangpur Range,2019,1,2,33,0,0,116,0,0,8,38,625,4,0,551,94,1472
Railway Range,2019,0,1,2,0,0,0,0,0,0,5,9,0,0,55,12,84
GMP,2019,2,3,3,1,0,22,1,2,2,8,65,3,0,130,2,244
RPMP,2019,0,0,1,0,0,12,1,0,0,6,33,0,0,68,0,121
ATU,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
